session no.,date,topic,speakers,commnet,phase of trial,,,,,p=prosection
1,11.4.61,Indictment,J Landau,,preliminary ,,,,,d=defense
,,Jurisdiction,D Servatius,,preliminary,,,,,j=judge
,,,P Hausner,,preliminary,,,,,pw= prosectuion witness
2,11.4.61,Jurisdiction,P Hausner,,preliminary,,,,,dw=defense witness
3,12.4.61,Jurisdiction,P Hausner,,preliminary,,,,,pwv=prosection witness victim
4,12.4.61,Jurisdiction,P Hausner,,preliminary,,,,,de=defendent eichmann
5,14.4.61,Jurisdiction,P Hausner,,preliminary,,,,,
,,,D Servatius,,preliminary,,,,,
6,17.4.61,Decision on Jurisdiction,J Landau,,preliminary,,,,,
,,Opening Speech of Prosecution,P Hausner,,prosecution,,,,,
7,17.4.61,Opening Speech of Prosecution,P Hausner,,prosecution,,,,,
8,18.4.61,Opening Speech of Prosecution,P Hausner,,prosecution,,,,,
9,18.4.61,PW1,Naftali bar shalom,,prosecution,,,,,
,,PW2,avner less,,prosecution,,,,,
10,19.4.61,PW2,avner less,,prosecution,,,,,
11,21.4.61,PW2,avner less,,prosecution,,,,,
12,24.4.61,PW2,avner less,,prosecution,,,,,
,,PW3,Salo Baron,,prosecution,,,,,
13,24.4.61,PW3,Salo Baron,,prosecution,,,,,
,,procedural ,,,prosecution,,,,,
14,25.4.61,procedural ,,,prosecution,,,,,
,,PWV1,Zyndl Grynszpan,,prosecution,,,,,
,,PWV2,Mordechai Grynszpan,,prosecution,,,,,
,,PWV3,Beno Cohen,,prosecution,,,,,
15,25.4.61,PWV3,Beno Cohen,,prosecution,,,,,
,,PWV4,Aharon Lindenstrauss,,prosecution,,,,,
16,26.4.61,procedural,,,prosecution,,,,,
,,PWV5,Morris Fleischmann,,prosecution,,,,,
17,26.4.61,procedural,,,prosecution,,,,,
,,PWV5,Morris Fleischmann,,prosecution,,,,,
,,PWV6,Franz Meyer,,prosecution,,,,,
18,27.4.61,procedural,,,prosecution,,,,,
19,27.4.61,procedural,,,prosecution,,,,,
,,PWV7,Paul Meretz,,prosecution,,,,,
,,PWV8,Walli Zimet,,prosecution,,,,,
,,PWV9,Max Burger,,prosecution,,,,,
,,procedural,,,prosecution,,,,,
20,28.4.61,procedural,,,prosecution,,,,,
,,PWV10,Hugo Kratky,,prosecution,,,,,
,,procedural,,,prosecution,,,,,
,,PWV11,Ada Lichtman,,prosecution,,,,,
21,1.5.61,PWV12,Zvi Pachter,,prosecution,,,,,
,,PWV13,Yaacov Gurfein,,prosecution,,,,,
,,PWV14,Noah Zabludowicz,,prosecution,,,,,
,,procedural,,,prosecution,,,,,
,,PWV15,Moshe Beisky,,prosecution,,,,,
22,1.5.61,procedural ,,,prosecution,,,,,
,,PWV16,Leon Wells,,prosecution,,,,,
23,2.5.61,PWV16,Leon Wells,,prosecution,,,,,
,,PWV17,Henryk Ross,,prosecution,,,,,
24,2.5.61,PWV17,Henryk Ross,,prosecution,,,,,
,,procedural ,,,prosecution,,,,,
,,PWV18,Esther Shiloh,,prosecution,,,,,
,,PWV19,Yosef Buzminsky,,prosecution,,,,,
,,PW4,Israel Carmel,,prosecution,,,,,
25,3.5.61,PWV20,Zivia Lubetkin,,prosecution,,,,,
,,PWV21,Yizhak Zuckerman,,prosecution,,,,,
26,3.5.61,PWV22,Rachel Auerbach,,prosecution,,,,,
,,PWV23,Adolf Berman,,prosecution,,,,,
,,PW5,Baruch Duvdevani,,prosecution,,,,,
,,PWV24,Rikva Kuper,,prosecution,,,,,
,,PWV25,Hella Rufeisen,,prosecution,,,,,
,,procedural,,,prosecution,,,,,
